Leitura,Data
4.995,2018-12-01 00:07:15
4.995,2018-12-01 00:07:16
4.995,2018-12-01 00:07:17
4.995,2018-12-01 00:07:19
4.995,2018-12-01 00:07:20
4.995,2018-12-01 00:07:21
4.995,2018-12-01 00:07:22
4.995,2018-12-01 00:07:23
4.995,2018-12-01 00:07:24
4.995,2018-12-01 00:07:25
4.995,2018-12-01 00:07:27
4.995,2018-12-01 00:07:28
4.995,2018-12-01 00:07:29
4.995,2018-12-01 00:07:30
4.995,2018-12-01 00:07:31
4.995,2018-12-01 00:07:32
4.995,2018-12-01 00:07:33
4.995,2018-12-01 00:07:35
4.995,2018-12-01 00:07:36
4.995,2018-12-01 00:07:37
4.995,2018-12-01 00:07:38
4.995,2018-12-01 00:07:40
4.995,2018-12-01 00:07:40
4.995,2018-12-01 00:07:42
4.995,2018-12-01 00:07:43
4.995,2018-12-01 00:07:44
4.995,2018-12-01 00:07:45
4.995,2018-12-01 00:07:46
4.995,2018-12-01 00:07:48
4.995,2018-12-01 00:07:49
4.995,2018-12-01 00:07:50
4.995,2018-12-01 00:07:51
4.995,2018-12-01 00:07:52
4.995,2018-12-01 00:07:53
4.995,2018-12-01 00:07:54
4.995,2018-12-01 00:07:56
4.995,2018-12-01 00:07:57
4.995,2018-12-01 00:07:58
4.99,2018-12-01 00:07:59
4.995,2018-12-01 00:08:00
4.995,2018-12-01 00:08:01
4.99,2018-12-01 00:08:03
4.995,2018-12-01 00:08:04
4.995,2018-12-01 00:08:05
4.995,2018-12-01 00:08:06
4.995,2018-12-01 00:08:07
4.995,2018-12-01 00:08:08
4.995,2018-12-01 00:08:10
4.995,2018-12-01 00:08:11
4.995,2018-12-01 00:08:12
4.995,2018-12-01 00:08:13
4.995,2018-12-01 00:08:14
4.995,2018-12-01 00:08:15
4.995,2018-12-01 00:08:16
4.995,2018-12-01 00:08:17
4.995,2018-12-01 00:08:19
4.995,2018-12-01 00:08:20
4.995,2018-12-01 00:08:21
4.995,2018-12-01 00:08:22
4.995,2018-12-01 00:08:23
4.995,2018-12-01 00:08:24
4.995,2018-12-01 00:08:26
4.995,2018-12-01 00:08:27
4.995,2018-12-01 00:08:28
4.995,2018-12-01 00:08:29
4.995,2018-12-01 00:08:30
4.995,2018-12-01 00:08:31
4.995,2018-12-01 00:08:33
4.995,2018-12-01 00:08:34
4.995,2018-12-01 00:08:35
4.995,2018-12-01 00:08:36
4.995,2018-12-01 00:08:37
4.995,2018-12-01 00:08:38
4.995,2018-12-01 00:08:40
4.995,2018-12-01 00:08:41
4.995,2018-12-01 00:08:42
4.995,2018-12-01 00:08:43
4.995,2018-12-01 00:08:44
4.995,2018-12-01 00:08:45
4.995,2018-12-01 00:08:47
4.995,2018-12-01 00:08:48
4.995,2018-12-01 00:08:49
4.995,2018-12-01 00:08:50
4.995,2018-12-01 00:08:51
4.995,2018-12-01 00:08:52
4.995,2018-12-01 00:08:54
4.995,2018-12-01 00:08:55
4.995,2018-12-01 00:08:56
4.995,2018-12-01 00:08:57
4.995,2018-12-01 00:08:58
