Leitura,Data 
1.914,2018-11-14 11:34:55
1.909,2018-11-14 11:35:00
1.899,2018-11-14 11:35:04
1.909,2018-11-14 11:35:09
1.899,2018-11-14 11:35:14
1.914,2018-11-14 11:35:19
1.904,2018-11-14 11:35:23
1.904,2018-11-14 11:35:28
1.909,2018-11-14 11:35:33
1.909,2018-11-14 11:35:37
1.904,2018-11-14 11:35:42
1.904,2018-11-14 11:35:47
1.899,2018-11-14 11:35:52
1.895,2018-11-14 11:35:56
1.899,2018-11-14 11:36:01
1.895,2018-11-14 11:36:06
1.899,2018-11-14 11:36:10
1.89,2018-11-14 11:36:15
1.899,2018-11-14 11:36:20
1.895,2018-11-14 11:36:25
1.895,2018-11-14 11:36:29
1.899,2018-11-14 11:36:34
1.895,2018-11-14 11:36:39
1.899,2018-11-14 11:36:44
1.899,2018-11-14 11:36:48
1.895,2018-11-14 11:36:53
1.895,2018-11-14 11:36:58
1.89,2018-11-14 11:37:02
1.895,2018-11-14 11:37:07
1.885,2018-11-14 11:37:12
1.89,2018-11-14 11:37:17
1.89,2018-11-14 11:37:21
1.885,2018-11-14 11:37:26
1.88,2018-11-14 11:37:31
1.885,2018-11-14 11:37:35
1.89,2018-11-14 11:37:40
1.88,2018-11-14 11:37:45
1.875,2018-11-14 11:37:50
1.875,2018-11-14 11:37:54
1.87,2018-11-14 11:37:59
1.865,2018-11-14 11:38:04
1.865,2018-11-14 11:38:08
1.86,2018-11-14 11:38:13
1.865,2018-11-14 11:38:18
1.865,2018-11-14 11:38:23
1.865,2018-11-14 11:38:27
1.86,2018-11-14 11:38:32
1.855,2018-11-14 11:38:37
1.86,2018-11-14 11:38:42
1.851,2018-11-14 11:38:46
1.851,2018-11-14 11:38:51
1.851,2018-11-14 11:38:56
1.846,2018-11-14 11:39:00
1.846,2018-11-14 11:39:05
1.909,2018-11-14 11:39:10
2.002,2018-11-14 11:39:15
1.851,2018-11-14 11:39:19
2.324,2018-11-14 11:39:24
2.441,2018-11-14 11:39:29
2.461,2018-11-14 11:39:33
2.48,2018-11-14 11:39:38
2.495,2018-11-14 11:39:43
2.51,2018-11-14 11:39:48
2.52,2018-11-14 11:39:52
2.524,2018-11-14 11:39:57
2.534,2018-11-14 11:40:02
2.539,2018-11-14 11:40:07
2.539,2018-11-14 11:40:11
2.544,2018-11-14 11:40:16
2.559,2018-11-14 11:40:21
2.563,2018-11-14 11:40:25
2.573,2018-11-14 11:40:30
2.578,2018-11-14 11:40:35
2.583,2018-11-14 11:40:40
2.593,2018-11-14 11:40:44
2.593,2018-11-14 11:40:49
2.603,2018-11-14 11:40:54
2.598,2018-11-14 11:40:58
2.593,2018-11-14 11:41:03
2.603,2018-11-14 11:41:08
2.607,2018-11-14 11:41:13
2.607,2018-11-14 11:41:17
2.607,2018-11-14 11:41:22
2.603,2018-11-14 11:41:27
2.598,2018-11-14 11:41:32
2.598,2018-11-14 11:41:36
2.588,2018-11-14 11:41:41
2.568,2018-11-14 11:41:46
2.515,2018-11-14 11:41:50
2.28,2018-11-14 11:41:55
1.929,2018-11-14 11:42:00
1.875,2018-11-14 11:42:05
1.89,2018-11-14 11:42:09
1.885,2018-11-14 11:42:14
1.89,2018-11-14 11:42:19
1.885,2018-11-14 11:42:23
1.88,2018-11-14 11:42:28
1.885,2018-11-14 11:42:33
1.88,2018-11-14 11:42:38
1.885,2018-11-14 11:42:42
1.89,2018-11-14 11:42:47
1.88,2018-11-14 11:42:52
1.885,2018-11-14 11:42:56
1.88,2018-11-14 11:43:01
1.895,2018-11-14 11:43:06
1.875,2018-11-14 11:43:11
1.909,2018-11-14 11:43:15
2.061,2018-11-14 11:43:20
1.997,2018-11-14 11:43:25
1.948,2018-11-14 11:43:30
1.973,2018-11-14 11:43:34
1.865,2018-11-14 11:43:39
1.851,2018-11-14 11:43:44
1.846,2018-11-14 11:43:48
1.846,2018-11-14 11:43:53
1.953,2018-11-14 11:43:58
2.031,2018-11-14 11:44:03
2.07,2018-11-14 11:44:07
2.231,2018-11-14 11:44:12
2.168,2018-11-14 11:44:17
2.192,2018-11-14 11:44:21
2.222,2018-11-14 11:44:26
2.095,2018-11-14 11:44:31
2.021,2018-11-14 11:44:36
2.163,2018-11-14 11:44:40
2.031,2018-11-14 11:44:45
1.987,2018-11-14 11:44:50
2.017,2018-11-14 11:44:55
1.978,2018-11-14 11:44:59
1.968,2018-11-14 11:45:04
2.051,2018-11-14 11:45:09
1.982,2018-11-14 11:45:13
1.904,2018-11-14 11:45:18
1.929,2018-11-14 11:45:23
1.816,2018-11-14 11:45:28
1.88,2018-11-14 11:45:32
2.222,2018-11-14 11:45:37
2.339,2018-11-14 11:45:42
2.349,2018-11-14 11:45:46
2.329,2018-11-14 11:45:51
2.275,2018-11-14 11:45:56
2.061,2018-11-14 11:46:01
1.816,2018-11-14 11:46:05
1.812,2018-11-14 11:46:10
1.841,2018-11-14 11:46:15
2.07,2018-11-14 11:46:20
1.934,2018-11-14 11:46:24
2.109,2018-11-14 11:46:29
2.207,2018-11-14 11:46:34
1.855,2018-11-14 11:46:38
2.046,2018-11-14 11:46:43
2.217,2018-11-14 11:46:48
2.329,2018-11-14 11:46:53
2.383,2018-11-14 11:46:57
2.397,2018-11-14 11:47:02
2.417,2018-11-14 11:47:08
2.412,2018-11-14 11:47:11
2.422,2018-11-14 11:47:16
2.422,2018-11-14 11:47:21
2.432,2018-11-14 11:47:26
2.437,2018-11-14 11:47:30
2.437,2018-11-14 11:47:35
2.446,2018-11-14 11:47:40
2.451,2018-11-14 11:47:45
2.466,2018-11-14 11:47:49
2.466,2018-11-14 11:47:54
2.471,2018-11-14 11:47:59
2.471,2018-11-14 11:48:03
2.48,2018-11-14 11:48:08
2.476,2018-11-14 11:48:13
2.48,2018-11-14 11:48:18
2.485,2018-11-14 11:48:22
2.485,2018-11-14 11:48:27
2.48,2018-11-14 11:48:32
2.48,2018-11-14 11:48:36
2.48,2018-11-14 11:48:41
2.485,2018-11-14 11:48:46
2.476,2018-11-14 11:48:51
2.48,2018-11-14 11:48:55
