Leitura,Data
0.82,2018-11-14 11:30:59
0.728,2018-11-14 11:31:04
0.723,2018-11-14 11:31:08
0.728,2018-11-14 11:31:13
0.728,2018-11-14 11:31:18
0.723,2018-11-14 11:31:23
0.732,2018-11-14 11:31:27
0.732,2018-11-14 11:31:32
0.732,2018-11-14 11:31:37
0.732,2018-11-14 11:31:42
0.728,2018-11-14 11:31:46
0.728,2018-11-14 11:31:51
0.811,2018-11-14 11:31:56
0.781,2018-11-14 11:32:00
0.786,2018-11-14 11:32:05
0.728,2018-11-14 11:32:10
0.732,2018-11-14 11:32:15
0.728,2018-11-14 11:32:19
0.737,2018-11-14 11:32:24
0.742,2018-11-14 11:32:29
0.732,2018-11-14 11:32:33
0.737,2018-11-14 11:32:38
0.742,2018-11-14 11:32:43
0.737,2018-11-14 11:32:48
0.737,2018-11-14 11:32:52
0.732,2018-11-14 11:32:57
0.747,2018-11-14 11:33:02
0.742,2018-11-14 11:33:07
0.747,2018-11-14 11:33:11
0.742,2018-11-14 11:33:16
0.742,2018-11-14 11:33:21
0.737,2018-11-14 11:33:25
0.737,2018-11-14 11:33:30
0.737,2018-11-14 11:33:35
0.737,2018-11-14 11:33:40
0.747,2018-11-14 11:33:44
0.747,2018-11-14 11:33:49
0.747,2018-11-14 11:33:54
0.742,2018-11-14 11:33:58
0.737,2018-11-14 11:34:03
0.737,2018-11-14 11:34:08
0.732,2018-11-14 11:34:13
0.737,2018-11-14 11:34:17
0.742,2018-11-14 11:34:22
0.747,2018-11-14 11:34:27
0.742,2018-11-14 11:34:32
0.742,2018-11-14 11:34:36
0.747,2018-11-14 11:34:41
0.742,2018-11-14 11:34:46
0.747,2018-11-14 11:34:50
0.737,2018-11-14 11:34:55
0.747,2018-11-14 11:35:00
0.742,2018-11-14 11:35:05
0.742,2018-11-14 11:35:09
0.747,2018-11-14 11:35:14
0.742,2018-11-14 11:35:19
0.752,2018-11-14 11:35:23
0.742,2018-11-14 11:35:28
0.742,2018-11-14 11:35:33
0.742,2018-11-14 11:35:38
0.732,2018-11-14 11:35:42
0.742,2018-11-14 11:35:47
0.737,2018-11-14 11:35:52
0.742,2018-11-14 11:35:56
0.742,2018-11-14 11:36:01
0.742,2018-11-14 11:36:06
0.737,2018-11-14 11:36:11
0.732,2018-11-14 11:36:15
0.742,2018-11-14 11:36:20
0.737,2018-11-14 11:36:25
0.742,2018-11-14 11:36:30
0.732,2018-11-14 11:36:34
0.732,2018-11-14 11:36:39
0.728,2018-11-14 11:36:44
0.713,2018-11-14 11:36:48
0.732,2018-11-14 11:36:53
0.742,2018-11-14 11:36:58
0.742,2018-11-14 11:37:03
0.718,2018-11-14 11:37:07
0.728,2018-11-14 11:37:12
0.732,2018-11-14 11:37:17
0.732,2018-11-14 11:37:21
0.732,2018-11-14 11:37:26
0.732,2018-11-14 11:37:31
0.732,2018-11-14 11:37:36
0.728,2018-11-14 11:37:40
0.723,2018-11-14 11:37:45
0.713,2018-11-14 11:37:50
0.723,2018-11-14 11:37:55
0.713,2018-11-14 11:37:59
0.718,2018-11-14 11:38:04
0.723,2018-11-14 11:38:09
0.718,2018-11-14 11:38:13
0.728,2018-11-14 11:38:18
0.713,2018-11-14 11:38:23
0.728,2018-11-14 11:38:28
0.723,2018-11-14 11:38:32
0.718,2018-11-14 11:38:37
0.713,2018-11-14 11:38:42
0.718,2018-11-14 11:38:46
0.708,2018-11-14 11:38:51
0.708,2018-11-14 11:38:56
0.708,2018-11-14 11:39:01
0.723,2018-11-14 11:39:05
0.747,2018-11-14 11:39:10
0.786,2018-11-14 11:39:15
0.723,2018-11-14 11:39:20
0.986,2018-11-14 11:39:24
1.05,2018-11-14 11:39:29
1.055,2018-11-14 11:39:34
1.069,2018-11-14 11:39:38
1.084,2018-11-14 11:39:43
1.094,2018-11-14 11:39:48
1.099,2018-11-14 11:39:53
1.099,2018-11-14 11:39:57
1.108,2018-11-14 11:40:02
1.113,2018-11-14 11:40:07
1.113,2018-11-14 11:40:11
1.123,2018-11-14 11:40:16
1.118,2018-11-14 11:40:21
1.133,2018-11-14 11:40:26
1.138,2018-11-14 11:40:30
1.133,2018-11-14 11:40:35
1.138,2018-11-14 11:40:40
1.143,2018-11-14 11:40:44
1.147,2018-11-14 11:40:49
1.157,2018-11-14 11:40:54
1.162,2018-11-14 11:40:59
1.157,2018-11-14 11:41:03
1.162,2018-11-14 11:41:08
1.152,2018-11-14 11:41:13
1.157,2018-11-14 11:41:18
1.152,2018-11-14 11:41:22
1.147,2018-11-14 11:41:27
1.157,2018-11-14 11:41:32
1.162,2018-11-14 11:41:36
1.143,2018-11-14 11:41:41
1.138,2018-11-14 11:41:46
1.104,2018-11-14 11:41:51
0.947,2018-11-14 11:41:55
0.757,2018-11-14 11:42:00
0.728,2018-11-14 11:42:05
0.732,2018-11-14 11:42:09
0.732,2018-11-14 11:42:14
0.728,2018-11-14 11:42:19
0.728,2018-11-14 11:42:24
0.723,2018-11-14 11:42:28
0.732,2018-11-14 11:42:33
0.732,2018-11-14 11:42:38
0.732,2018-11-14 11:42:43
0.728,2018-11-14 11:42:47
0.723,2018-11-14 11:42:52
0.728,2018-11-14 11:42:57
0.718,2018-11-14 11:43:01
0.732,2018-11-14 11:43:06
0.728,2018-11-14 11:43:11
0.747,2018-11-14 11:43:16
0.82,2018-11-14 11:43:20
0.796,2018-11-14 11:43:25
0.771,2018-11-14 11:43:30
0.767,2018-11-14 11:43:34
0.723,2018-11-14 11:43:39
0.718,2018-11-14 11:43:44
0.713,2018-11-14 11:43:49
0.713,2018-11-14 11:43:53
0.776,2018-11-14 11:43:58
0.811,2018-11-14 11:44:03
0.83,2018-11-14 11:44:08
0.918,2018-11-14 11:44:12
0.884,2018-11-14 11:44:17
0.903,2018-11-14 11:44:22
0.918,2018-11-14 11:44:26
0.845,2018-11-14 11:44:31
0.786,2018-11-14 11:44:36
0.874,2018-11-14 11:44:41
0.806,2018-11-14 11:44:45
0.786,2018-11-14 11:44:50
0.796,2018-11-14 11:44:55
0.771,2018-11-14 11:44:59
0.781,2018-11-14 11:45:04
0.815,2018-11-14 11:45:09
0.776,2018-11-14 11:45:14
0.752,2018-11-14 11:45:18
0.742,2018-11-14 11:45:23
0.698,2018-11-14 11:45:28
0.728,2018-11-14 11:45:33
0.918,2018-11-14 11:45:37
0.991,2018-11-14 11:45:42
0.996,2018-11-14 11:45:47
0.981,2018-11-14 11:45:51
0.947,2018-11-14 11:45:56
0.82,2018-11-14 11:46:01
